Species,ortho_group,experiment,Protein.IDs,plot_label,specific.Gene.names,p.value,log2.foldchange,enriched,additional_protein_name,previous annotation,repair,unique
A. thaliana,OG6_101139,8oxoG,A0A1P8AX21;A0A1P8AX84;P45951;B3H7C2,hsap_APEX1,ARP,0.001619268,1.120469352,TRUE,ARP,repair,repair,not unique
A. thaliana,OG6_101211,8oxoG,Q8L7N2,hsap_MCTS2,At1g09150,0.000293453,1.021036538,TRUE,At1g09150,no,no,not unique
A. thaliana,OG6_134087,8oxoG,Q8LCV8;Q6ID72,atha_At4g32100,At4g32105;At4g32110,0.017593945,1.009794446,TRUE,At4g32105,no,no,not unique
A. thaliana,OG6_100445,8oxoG,Q39173;Q93Z72,hsap_PTGR1,P2;At5g17000,0.046736963,1.286561087,TRUE,At5g16990,repair,repair,not unique
A. thaliana,OG6_106534,8oxoG,Q84KJ5,atha_CRYD,CRYD,0.002626534,1.583277666,TRUE,CRYD,repair,repair,not unique
A. thaliana,OG6_104135,8oxoG,Q9SB00;A0A1P8ARP1,atha_PHR1,PHR1,8.20E-08,7.547557788,TRUE,PHR1,repair,repair,not unique
A. thaliana,OG6_102186,8oxoG,Q9SU50,hsap_TREH,TRE1,0.034686434,1.18549673,TRUE,TRE1,no,no,not unique
A. thaliana,OG6_100116,abasic,Q9LNC1,hsap_CTSL,At1g06260,5.94E-05,1.917222893,TRUE,At1g06260,no,no,not unique
A. thaliana,OG6_101707,abasic,Q93VQ6,hsap_IFI30,At1g07080,0.04716216,1.028887419,TRUE,At1g07080,no,no,not unique
A. thaliana,OG6_106534,abasic,Q84KJ5,atha_CRYD,CRYD,0.000328395,2.159033111,TRUE,CRYD,repair,repair,not unique
A. thaliana,OG6_125103,abasic,Q8GWA2;F4IVK9,atha_MOC1,MOC1;At2g26840,0.008247522,1.940836508,TRUE,MOC1,repair,repair,not unique
A. thaliana,OG6_104135,abasic,Q9SB00;A0A1P8ARP1,atha_PHR1,PHR1,0.000650098,5.651388203,TRUE,PHR1,repair,repair,not unique
A. thaliana,OG6_101139,RNAbase,A0A1P8AX21;A0A1P8AX84;P45951;B3H7C2,hsap_APEX1,ARP,5.39E-05,1.537422061,TRUE,ARP,repair,repair,not unique
A. thaliana,OG6_187067,RNAbase,Q4V3D1,atha_HON5,HON5,0.001166646,1.684652868,TRUE,HON5,unique,no,unique
A. thaliana,OG6_125103,RNAbase,Q8GWA2;F4IVK9,atha_MOC1,MOC1;At2g26840,0.008008107,1.909446187,TRUE,MOC1,repair,repair,not unique
A. thaliana,OG6_102186,RNAbase,Q9SU50,hsap_TREH,TRE1,0.044730061,1.101610416,TRUE,TRE1,no,no,not unique
B. subtilis,OG6_371503,8oxoG,P96595,bsub_ydaT,ydaT,1.67E-05,3.371426132,TRUE,ydaT,unique,no,unique
B. subtilis,OG6_130657,8oxoG,O07541,bsub_yhaZ,yhaZ,8.31E-05,1.105225374,TRUE,yhaZ,no,no,not unique
B. subtilis,OG6_101139,8oxoG,P37454,hsap_APEX1,exoA,0.000183896,1.753724081,TRUE,exoA,repair,repair,not unique
B. subtilis,OG6_103101,8oxoG,O06733,hsap_KCTD9,yisX,3.06E-05,1.229946346,TRUE,yisX,no,no,not unique
B. subtilis,OG6_104748,8oxoG,P94378,hsap_MPG,yxlJ,2.11E-05,1.41133846,TRUE,yxlJ,repair,repair,not unique
B. subtilis,OG6_102506,8oxoG,O31584,hsap_MUTYH,mutY,5.83E-09,6.016865898,TRUE,mutY,repair,repair,not unique
B. subtilis,OG6_104339,8oxoG,P54476,scer_APN1,nfo,1.61E-05,1.054185693,TRUE,nfo,repair,repair,not unique
B. subtilis,OG6_139032,abasic,P37573,bsub_disA,disA,0.009449835,1.08544411,TRUE,disA,unique,no,unique
B. subtilis,OG6_169983,abasic,Q45066,bsub_parC,parC,0.018202391,1.112483269,TRUE,parC,unique,no,unique
B. subtilis,OG6_371503,abasic,P96595,bsub_ydaT,ydaT,1.38E-06,8.311901416,TRUE,ydaT,unique,no,unique
B. subtilis,OG6_313935,abasic,P96666,bsub_ydeI,ydeI,6.46E-06,6.584208383,TRUE,ydeI,unique,no,unique
B. subtilis,OG6_523587,abasic,O31547,bsub_yfjM,yfjM,2.00E-05,2.258240287,TRUE,yfjM,unique,no,unique
B. subtilis,OG6_130657,abasic,O07541,bsub_yhaZ,yhaZ,0.000665469,1.216456518,TRUE,yhaZ,no,no,not unique
B. subtilis,OG6_128520,abasic,P38423,bsub_yqxK,yqxK,2.74E-05,3.391863575,TRUE,yqxK,unique,no,unique
B. subtilis,OG6_111053,abasic,P54394,ecol_dinG,dinG,9.22E-07,1.440476521,TRUE,dinG,homology,repair,not unique
B. subtilis,OG6_103534,abasic,P08821,ecol_ihfA,hupA,1.76E-05,2.335600032,TRUE,hupA,no,no,not unique
B. subtilis,OG6_106275,abasic,O34403,ecol_mutM,mutM,1.29E-07,2.9553117,TRUE,mutM,repair,repair,not unique
B. subtilis,OG6_109729,abasic,P94461,ecol_priA,priA,5.87E-07,2.304981217,TRUE,priA,repair,repair,not unique
B. subtilis,OG6_101139,abasic,P37454,hsap_APEX1,exoA,1.41E-07,4.29661388,TRUE,exoA,repair,repair,not unique
B. subtilis,OG6_104748,abasic,P94378,hsap_MPG,yxlJ,0.000940883,1.227572966,TRUE,yxlJ,repair,repair,not unique
B. subtilis,OG6_100284,abasic,Q59192,hsap_TOP2B,parE,0.012440274,1.040944128,TRUE,parE,no,no,not unique
B. subtilis,OG6_103726,abasic,P96583,hsap_TOP3B,topB,1.04E-05,1.262887982,TRUE,topB,homology,repair,not unique
B. subtilis,OG6_104339,abasic,P54476,scer_APN1,nfo,2.14E-08,5.989841563,TRUE,nfo,repair,repair,not unique
B. subtilis,OG6_119768,RNAbase,P96624,bsub_ydcG,ydcG,0.000633515,1.408548649,TRUE,ydcG,unique,no,unique
B. subtilis,OG6_313935,RNAbase,P96666,bsub_ydeI,ydeI,4.85E-06,6.311131827,TRUE,ydeI,unique,no,unique
B. subtilis,OG6_523587,RNAbase,O31547,bsub_yfjM,yfjM,1.99E-05,1.36785446,TRUE,yfjM,unique,no,unique
B. subtilis,OG6_130657,RNAbase,O07541,bsub_yhaZ,yhaZ,0.000634436,1.582497918,TRUE,yhaZ,no,no,not unique
B. subtilis,OG6_111186,RNAbase,O32175,ecol_arsC,yusI,0.000748428,1.107105333,TRUE,yusI,no,no,not unique
B. subtilis,OG6_111053,RNAbase,P54394,ecol_dinG,dinG,4.73E-05,1.055987055,TRUE,dinG,homology,repair,not unique
B. subtilis,OG6_106275,RNAbase,O34403,ecol_mutM,mutM,3.07E-08,4.8248413,TRUE,mutM,repair,repair,not unique
B. subtilis,OG6_101139,RNAbase,P37454,hsap_APEX1,exoA,0.003906572,1.447840217,TRUE,exoA,repair,repair,not unique
B. subtilis,OG6_103101,RNAbase,O06733,hsap_KCTD9,yisX,3.05E-05,1.263504103,TRUE,yisX,no,no,not unique
B. subtilis,OG6_104748,RNAbase,P94378,hsap_MPG,yxlJ,2.89E-07,1.928167585,TRUE,yxlJ,repair,repair,not unique
B. subtilis,OG6_103726,RNAbase,P96583,hsap_TOP3B,topB,0.000133299,1.386866695,TRUE,topB,homology,repair,not unique
B. subtilis,OG6_104339,RNAbase,P54476,scer_APN1,nfo,0.000500222,1.774476912,TRUE,nfo,repair,repair,not unique
C. elegans,OG6_107684,8oxoG,O17038,cele_col-64,col-143,0.034341124,1.551419152,TRUE,col-143,unique,no,unique
C. elegans,OG6_101139,8oxoG,G5EBR7;Q564V5,hsap_APEX1,exo-3,5.96E-05,1.493910189,TRUE,exo-3,repair,repair,not unique
C. elegans,OG6_151123,8oxoG,Q94234,cele_hmg-5,hmg-5,0.002859478,3.427369458,TRUE,hmg-5,unique,no,unique
C. elegans,OG6_104339,abasic,Q10002,scer_APN1,apn-1,2.71E-05,3.628905292,TRUE,apn-1,repair,repair,not unique
C. elegans,OG6_109372,abasic,Q18799,cele_col-43,col-119,0.027963681,1.008601868,TRUE,col-119,unique,no,unique
C. elegans,OG6_107684,abasic,Q19813,cele_col-64,col-140,0.038894835,1.191556671,TRUE,col-140,unique,no,unique
